query,query_type,drug,organ_filter,ground_truth,num_results
Find all hepatobiliary adverse events from nortriptyline,organ_specific,nortriptyline,hepatobiliary,"['hepatitis', 'hepatic necrosis', 'jaundice', 'cholestasis', 'hepatic function abnormal']",5
Show ocular toxicity of nortriptyline,organ_specific,nortriptyline,ocular,"['vision blurred', 'angle closure glaucoma']",2
List nortriptyline's effects on the immunological system,organ_specific,nortriptyline,immunological,"['hypersensitivity', 'cutaneous hypersensitivity']",2
Show endocrine toxicity of nortriptyline,organ_specific,nortriptyline,endocrine,['inappropriate antidiuretic hormone secretion'],1
Show hematological toxicity of nortriptyline,organ_specific,nortriptyline,hematological,"['thrombocytopenia', 'leukopenia', 'pancytopenia']",3
List nortriptyline's effects on the otic system,organ_specific,nortriptyline,otic,['tinnitus'],1
What renal side effects does nortriptyline cause?,organ_specific,nortriptyline,renal,['urinary retention'],1
What are the cardiovascular risks of taking nitrous?,organ_specific,nitrous,cardiovascular,"['hypotension', 'arrhythmia']",2
List nitrous's effects on the psychiatric system,organ_specific,nitrous,psychiatric,"['bone marrow depression', 'confusional state']",2
Show neurological toxicity of nitrous,organ_specific,nitrous,neurological,"['neuropathy peripheral', 'dizziness', 'headache', 'neuropathy']",4
Show hematological toxicity of nitrous,organ_specific,nitrous,hematological,"['thrombocytopenia', 'leukopenia', 'pancytopenia']",3
What gastrointestinal side effects does nitrous cause?,organ_specific,nitrous,gastrointestinal,"['vomiting', 'nausea']",2
Show respiratory toxicity of nitrous,organ_specific,nitrous,respiratory,"['vascular resistance pulmonary increased', 'hypoxia']",2
Find all cardiovascular adverse events from abiraterone,organ_specific,abiraterone,cardiovascular,"['cardiac disorder', 'myocardial ischaemia', 'hypertension', 'cardiac failure', 'arrhythmia', 'myocardial infarction']",6
Show gastrointestinal toxicity of abiraterone,organ_specific,abiraterone,gastrointestinal,"['gastrointestinal disorder', 'dyspepsia', 'vomiting', 'constipation']",4
List abiraterone's effects on the respiratory system,organ_specific,abiraterone,respiratory,"['upper respiratory tract infection', 'cough', 'pneumonia', 'cardio-respiratory arrest']",4
List abiraterone's effects on the dermatological system,organ_specific,abiraterone,dermatological,"['dermatitis', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'rash']",4
What are the musculoskeletal risks of taking abiraterone?,organ_specific,abiraterone,musculoskeletal,"['joint swelling', 'fracture', 'multiple fractures', 'myalgia']",4
Show renal toxicity of abiraterone,organ_specific,abiraterone,renal,"['urinary tract infection', 'urinary tract disorder']",2
Show hepatobiliary toxicity of abiraterone,organ_specific,abiraterone,hepatobiliary,['hepatotoxicity'],1
What are the psychiatric risks of taking abiraterone?,organ_specific,abiraterone,psychiatric,['insomnia'],1
What dermatological side effects does danazol cause?,organ_specific,danazol,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'rash', 'pigmentation skin', 'seborrhoeic dermatitis', 'alopecia', 'photosensitivity', 'photosensitivity reaction']",9
What are the psychiatric risks of taking danazol?,organ_specific,danazol,psychiatric,['anxiety'],1
What musculoskeletal side effects does danazol cause?,organ_specific,danazol,musculoskeletal,"['joint swelling', 'cramp muscle', 'joint lock', 'muscle spasms', 'arthralgia']",5
Show gastrointestinal toxicity of danazol,organ_specific,danazol,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal pain upper', 'epigastric pain', 'constipation', 'nausea']",6
What are the neurological risks of taking danazol?,organ_specific,danazol,neurological,"['dizziness', 'headache', 'migraine', 'vertigo', 'tremor', 'tremor muscle']",6
Show hematological toxicity of danazol,organ_specific,danazol,hematological,"['thrombocytopenia', 'gingival bleeding', 'leukopenia']",3
What endocrine side effects does danazol cause?,organ_specific,danazol,endocrine,"['blood insulin increased', 'hyperinsulinism']",2
Find all cardiovascular adverse events from danazol,organ_specific,danazol,cardiovascular,"['arterial thrombosis', 'tachycardia', 'hypertension', 'palpitations', 'benign intracranial hypertension', 'thrombosis', 'myocardial infarction']",7
What are the hepatobiliary risks of taking danazol?,organ_specific,danazol,hepatobiliary,"['hepatic neoplasm', 'jaundice cholestatic', 'peliosis hepatis', 'hepatic adenoma', 'jaundice', 'hepatic function abnormal']",6
Show ocular toxicity of danazol,organ_specific,danazol,ocular,"['vision blurred', 'cataract']",2
What are the respiratory risks of taking danazol?,organ_specific,danazol,respiratory,['interstitial pneumonia'],1
Show gastrointestinal toxicity of nabilone,organ_specific,nabilone,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'gastritis', 'constipation', 'gastrointestinal pain', 'abdominal pain']",7
Show psychiatric toxicity of nabilone,organ_specific,nabilone,psychiatric,"['agitation', 'anxiety', 'hallucination', 'respiratory depression', 'depression', 'cns depression nos', 'insomnia', 'confusional state']",8
What are the cardiovascular risks of taking nabilone?,organ_specific,nabilone,cardiovascular,"['hypotension', 'tachycardia', 'hypertension', 'orthostatic hypotension', 'palpitations', 'arrhythmia']",6
What musculoskeletal side effects does nabilone cause?,organ_specific,nabilone,musculoskeletal,"['muscle twitching', 'myalgia', 'muscle relaxant therapy', 'arthralgia']",4
Show neurological toxicity of nabilone,organ_specific,nabilone,neurological,"['dizziness', 'ataxia', 'headache', 'sinus headache', 'vertigo', 'dizziness postural', 'tremor']",7
Find all respiratory adverse events from nabilone,organ_specific,nabilone,respiratory,"['pulmonary function test decreased', 'cough']",2
Find all dermatological adverse events from nabilone,organ_specific,nabilone,dermatological,"['dermatitis', 'pruritus', 'rash', 'photosensitivity reaction', 'photosensitivity']",5
List nabilone's effects on the immunological system,organ_specific,nabilone,immunological,['hypersensitivity'],1
Show hematological toxicity of nabilone,organ_specific,nabilone,hematological,['leukopenia'],1
Find all otic adverse events from nabilone,organ_specific,nabilone,otic,['tinnitus'],1
What are the renal risks of taking nabilone?,organ_specific,nabilone,renal,['urinary retention'],1
What are the ocular risks of taking nabilone?,organ_specific,nabilone,ocular,['vision blurred'],1
Find all gastrointestinal adverse events from asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,organ_specific,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,gastrointestinal,"['vomiting', 'abdominal cramps', 'nausea', 'abdominal discomfort', 'delayed gastric emptying', 'abdominal pain upper', 'abdominal pain', 'impaired gastric emptying']",8
What are the neurological risks of taking asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2?,organ_specific,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,neurological,"['dizziness', 'headache']",2
Find all dermatological adverse events from asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,organ_specific,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,dermatological,"['dermatitis', 'rash']",2
Show immunological toxicity of asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,organ_specific,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,immunological,['hypersensitivity'],1
List asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2's effects on the cardiovascular system,organ_specific,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,cardiovascular,"['hypertension', 'hypotension']",2
Find all musculoskeletal adverse events from asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,organ_specific,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,musculoskeletal,"['cramp muscle', 'muscle spasms']",2
List etomidate's effects on the cardiovascular system,organ_specific,etomidate,cardiovascular,"['hypotension', 'bradycardia', 'hypertension', 'tachycardia', 'arrhythmia']",5
What are the gastrointestinal risks of taking etomidate?,organ_specific,etomidate,gastrointestinal,"['vomiting', 'nausea postoperative', 'procedural nausea']",3
Find all respiratory adverse events from etomidate,organ_specific,etomidate,respiratory,"['respiratory failure', 'hypoxia']",2
Show gastrointestinal toxicity of vigabatrin,organ_specific,vigabatrin,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'abdominal discomfort', 'abdominal pain upper', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain', 'gastrointestinal haemorrhage']",11
What psychiatric side effects does vigabatrin cause?,organ_specific,vigabatrin,psychiatric,"['delirium', 'agitation', 'acute psychosis', 'hallucination', 'anxiety', 'depression', 'suicidal behaviour', 'mania', 'hypomania', 'insomnia', 'confusional state']",11
Find all musculoskeletal adverse events from vigabatrin,organ_specific,vigabatrin,musculoskeletal,"['muscle spasticity', 'muscle twitching', 'muscle relaxant therapy', 'muscle strain', 'joint sprain', 'myalgia', 'muscle spasms', 'arthralgia']",8
What neurological side effects does vigabatrin cause?,organ_specific,vigabatrin,neurological,"['dizziness', 'ataxia', 'headache', 'sinus headache', 'vertigo', 'tremor', 'neuropathy peripheral']",7
List vigabatrin's effects on the hepatobiliary system,organ_specific,vigabatrin,hepatobiliary,"['cholestasis', 'hepatobiliary disease']",2
Show ocular toxicity of vigabatrin,organ_specific,vigabatrin,ocular,"['optic neuritis', 'vision blurred', 'abnormal vision', 'diplopia', 'optic atrophy', 'conjunctivitis']",6
Find all respiratory adverse events from vigabatrin,organ_specific,vigabatrin,respiratory,"['upper respiratory tract infection', 'respiratory tract congestion', 'respiratory failure', 'cough', 'pneumonia', 'pulmonary congestion']",6
Show otic toxicity of vigabatrin,organ_specific,vigabatrin,otic,"['deafness', 'tinnitus']",2
Find all dermatological adverse events from vigabatrin,organ_specific,vigabatrin,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'dyskinesia', 'skin disorder', 'rash maculo-papular']",8
Show immunological toxicity of vigabatrin,organ_specific,vigabatrin,immunological,['hypersensitivity'],1
What cardiovascular side effects does vigabatrin cause?,organ_specific,vigabatrin,cardiovascular,['pulmonary embolism'],1
Show renal toxicity of vigabatrin,organ_specific,vigabatrin,renal,"['urinary tract infection', 'renal aplasia', 'congenital hydronephrosis']",3
Find all psychiatric adverse events from chloroprocaine,organ_specific,chloroprocaine,psychiatric,"['anxiety', 'agitation']",2
What are the neurological risks of taking chloroprocaine?,organ_specific,chloroprocaine,neurological,"['dizziness', 'headache', 'tremor']",3
Find all cardiovascular adverse events from chloroprocaine,organ_specific,chloroprocaine,cardiovascular,"['hypotension', 'ventricular arrhythmia', 'cardiac arrest', 'bradycardia', 'tachycardia']",5
Show gastrointestinal toxicity of chloroprocaine,organ_specific,chloroprocaine,gastrointestinal,"['vomiting', 'nausea']",2
What are the dermatological risks of taking chloroprocaine?,organ_specific,chloroprocaine,dermatological,"['pruritus', 'urticaria']",2
Show otic toxicity of chloroprocaine,organ_specific,chloroprocaine,otic,['tinnitus'],1
Show respiratory toxicity of chloroprocaine,organ_specific,chloroprocaine,respiratory,['respiratory arrest'],1
Show ocular toxicity of chloroprocaine,organ_specific,chloroprocaine,ocular,['vision blurred'],1
List phentolamine's effects on the gastrointestinal system,organ_specific,phentolamine,gastrointestinal,"['vomiting', 'nausea', 'abdominal pain upper', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",6
What cardiovascular side effects does phentolamine cause?,organ_specific,phentolamine,cardiovascular,"['cardiac disorder', 'hypotension', 'tachycardia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'bradycardia', 'arrhythmia', 'myocardial infarction']",9
List phentolamine's effects on the neurological system,organ_specific,phentolamine,neurological,"['dizziness', 'headache']",2
Find all dermatological adverse events from phentolamine,organ_specific,phentolamine,dermatological,['pruritus'],1
List moxonidine's effects on the gastrointestinal system,organ_specific,moxonidine,gastrointestinal,"['nausea', 'abdominal pain', 'gastrointestinal pain']",3
What psychiatric side effects does moxonidine cause?,organ_specific,moxonidine,psychiatric,"['anxiety', 'insomnia']",2
Find all neurological adverse events from moxonidine,organ_specific,moxonidine,neurological,"['dizziness', 'headache', 'vertigo']",3
Show dermatological toxicity of moxonidine,organ_specific,moxonidine,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'rash']",4
What cardiovascular side effects does moxonidine cause?,organ_specific,moxonidine,cardiovascular,"['orthostatic hypotension', 'hypotension']",2
List amitriptyline's effects on the dermatological system,organ_specific,amitriptyline,dermatological,"['dermatitis', 'pruritus', 'tardive dyskinesia', 'urticaria', 'rash', 'dyskinesia', 'alopecia']",7
What psychiatric side effects does amitriptyline cause?,organ_specific,amitriptyline,psychiatric,"['bone marrow depression', 'agitation', 'anxiety', 'hallucination', 'mania', 'hypomania', 'insomnia', 'confusional state']",8
Find all cardiovascular adverse events from amitriptyline,organ_specific,amitriptyline,cardiovascular,"['hypotension', 'tachycardia', 'hypertension', 'orthostatic hypotension', 'palpitations', 'ventricular tachycardia', 'arrhythmia', 'block heart', 'myocardial infarction']",9
Find all neurological adverse events from amitriptyline,organ_specific,amitriptyline,neurological,"['dizziness', 'ataxia', 'headache', 'tremor', 'neuropathy peripheral']",5
Find all gastrointestinal adverse events from amitriptyline,organ_specific,amitriptyline,gastrointestinal,"['vomiting', 'nausea', 'dyspepsia', 'constipation', 'epigastric distress']",5
What are the hepatobiliary risks of taking amitriptyline?,organ_specific,amitriptyline,hepatobiliary,"['hepatitis', 'hepatic failure', 'jaundice']",3
What are the endocrine risks of taking amitriptyline?,organ_specific,amitriptyline,endocrine,['inappropriate antidiuretic hormone secretion'],1
Find all hematological adverse events from amitriptyline,organ_specific,amitriptyline,hematological,"['thrombocytopenia', 'leukopenia', 'pancytopenia']",3
What are the musculoskeletal risks of taking amitriptyline?,organ_specific,amitriptyline,musculoskeletal,['muscle rigidity'],1
List amitriptyline's effects on the otic system,organ_specific,amitriptyline,otic,['tinnitus'],1
List amitriptyline's effects on the renal system,organ_specific,amitriptyline,renal,['urinary retention'],1
Show ocular toxicity of amitriptyline,organ_specific,amitriptyline,ocular,['vision blurred'],1
Find all immunological adverse events from amitriptyline,organ_specific,amitriptyline,immunological,['lupus-like syndrome'],1
What are the gastrointestinal risks of taking bethanechol?,organ_specific,bethanechol,gastrointestinal,"['gastrointestinal sounds abnormal', 'abdominal cramps', 'nausea', 'abdominal colic', 'abdominal pain']",5
What respiratory side effects does bethanechol cause?,organ_specific,bethanechol,respiratory,"['bronchoconstriction', 'bronchospasm', 'asthma']",3
What neurological side effects does bethanechol cause?,organ_specific,bethanechol,neurological,['headache'],1
Find all cardiovascular adverse events from bethanechol,organ_specific,bethanechol,cardiovascular,"['reflex tachycardia', 'hypotension', 'tachycardia']",3
Find all cardiovascular adverse events from tmc207,organ_specific,tmc207,cardiovascular,"['cardiac disorder', 'arrhythmia']",2
What musculoskeletal side effects does tmc207 cause?,organ_specific,tmc207,musculoskeletal,"['myalgia', 'arthralgia']",2
What neurological side effects does tmc207 cause?,organ_specific,tmc207,neurological,"['dizziness', 'headache']",2
What dermatological side effects does tmc207 cause?,organ_specific,tmc207,dermatological,"['dermatitis', 'rash']",2
Show gastrointestinal toxicity of tmc207,organ_specific,tmc207,gastrointestinal,"['vomiting', 'gastrointestinal disorder', 'nausea']",3
List tmc207's effects on the hepatobiliary system,organ_specific,tmc207,hepatobiliary,"['hepatitis', 'hepatic cirrhosis', 'hepatic enzyme increased', 'hepatobiliary disease', 'hepatic function abnormal']",5
What are the gastrointestinal risks of taking montelukast?,organ_specific,montelukast,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal injury', 'abdominal pain']",7
What immunological side effects does montelukast cause?,organ_specific,montelukast,immunological,"['hypersensitivity', 'anaphylactic shock', 'allergic granulomatous angiitis', 'vasculitis', 'leukocytoclastic vasculitis']",5
List montelukast's effects on the psychiatric system,organ_specific,montelukast,psychiatric,"['agitation', 'anxiety', 'hallucination', 'hallucination, visual', 'suicidal behaviour', 'insomnia']",6
Show musculoskeletal toxicity of montelukast,organ_specific,montelukast,musculoskeletal,"['bone disorder', 'cramp muscle', 'myalgia', 'muscle spasms', 'arthralgia']",5
Find all respiratory adverse events from montelukast,organ_specific,montelukast,respiratory,"['upper respiratory tract infection', 'asthma', 'pulmonary eosinophilia', 'cough', 'pneumonia']",5
List montelukast's effects on the ocular system,organ_specific,montelukast,ocular,['conjunctivitis'],1
Find all dermatological adverse events from montelukast,organ_specific,montelukast,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'vasculitic rash', 'dermatitis atopic', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder', 'skin infection']",10
What neurological side effects does montelukast cause?,organ_specific,montelukast,neurological,"['dizziness', 'headache', 'sinus headache', 'tremor', 'neuropathy peripheral', 'neuropathy']",6
Show cardiovascular toxicity of montelukast,organ_specific,montelukast,cardiovascular,"['cardiac disorder', 'palpitations']",2
List montelukast's effects on the hepatobiliary system,organ_specific,montelukast,hepatobiliary,"['hepatic infiltration eosinophilic', 'hepatocellular injury', 'liver disorder', 'hepatitis', 'hepatitis cholestatic', 'traumatic liver injury', 'liver injury', 'hepatobiliary disease', 'jaundice', 'foetor hepaticus']",10
Find all hematological adverse events from montelukast,organ_specific,montelukast,hematological,"['thrombocytopenia', 'bleeding tendency']",2
Show renal toxicity of montelukast,organ_specific,montelukast,renal,['urinary tract disorder'],1
What are the gastrointestinal risks of taking colesevelam?,organ_specific,colesevelam,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'nausea', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",9
What dermatological side effects does colesevelam cause?,organ_specific,colesevelam,dermatological,"['dermatitis', 'rash', 'dermatitis bullous']",3
Show neurological toxicity of colesevelam,organ_specific,colesevelam,neurological,['headache'],1
List colesevelam's effects on the immunological system,organ_specific,colesevelam,immunological,['hypersensitivity'],1
What cardiovascular side effects does colesevelam cause?,organ_specific,colesevelam,cardiovascular,"['hypertension', 'bradycardia', 'myocardial infarction']",3
What respiratory side effects does colesevelam cause?,organ_specific,colesevelam,respiratory,"['upper respiratory tract infection', 'cough', 'cough increased']",3
List colesevelam's effects on the musculoskeletal system,organ_specific,colesevelam,musculoskeletal,['myalgia'],1
Show endocrine toxicity of colesevelam,organ_specific,colesevelam,endocrine,['diabetes mellitus'],1
What gastrointestinal side effects does memantine cause?,organ_specific,memantine,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'colitis', 'benign gastrointestinal neoplasm', 'gastritis', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'diverticulum intestinal', 'abdominal pain', 'gastrointestinal haemorrhage', 'gastric ulcer']",13
List memantine's effects on the dermatological system,organ_specific,memantine,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'tardive dyskinesia', 'skin ulcer', 'rash erythematous', 'rash', 'dyskinesia', 'skin exfoliation', 'skin disorder', 'alopecia', 'dry skin', 'dermatitis bullous']",14
Show cardiovascular toxicity of memantine,organ_specific,memantine,cardiovascular,"['arrhythmia supraventricular', 'hypotension', 'thromboembolism', 'cardiac arrest', 'cardiac failure', 'cardiac disorder', 'embolism', 'pulmonary embolism', 'ventricular arrhythmia', 'supraventricular tachycardia', 'palpitations', 'atrial arrhythmia', 'myocardial infarction', 'hypertension worsened', 'tachycardia', 'cardiac murmur', 'hypertension', 'orthostatic hypotension', 'bradycardia', 'cardiac valve disease', 'block heart', 'cardiovascular disorder', 'venous thrombosis', 'angina pectoris', 'cardiac failure congestive', 'embolism venous', 'arrhythmia', 'deep vein thrombosis']",28
Show psychiatric toxicity of memantine,organ_specific,memantine,psychiatric,"['delirium', 'agitation', 'suicidal ideation', 'hallucination', 'anxiety', 'depression', 'mania', 'insomnia', 'confusional state']",9
What are the musculoskeletal risks of taking memantine?,organ_specific,memantine,musculoskeletal,"['bone disorder', 'fracture', 'osteoporosis', 'muscle contractions involuntary', 'myalgia', 'bone pain', 'multiple fractures', 'arthralgia']",8
What respiratory side effects does memantine cause?,organ_specific,memantine,respiratory,"['upper respiratory tract infection', 'bronchospasm', 'pneumonia aspiration', 'asthma', 'respiratory insufficiency', 'respiratory failure', 'cough', 'pneumonia', 'pulmonary oedema', 'chronic obstructive pulmonary disease']",10
Show neurological toxicity of memantine,organ_specific,memantine,neurological,"['parkinsonism', 'dizziness', 'ataxia', 'headache', 'paralysis', 'vertigo', 'tremor', 'neuropathy peripheral', 'neuropathy']",9
Show ocular toxicity of memantine,organ_specific,memantine,ocular,"['glaucoma', 'cataract', 'vision blurred', 'abnormal vision', 'diplopia', 'conjunctivitis']",6
List memantine's effects on the renal system,organ_specific,memantine,renal,"['renal failure', 'urinary tract disorder', 'cystitis', 'urinary retention', 'renal cyst', 'urinary incontinence', 'renal impairment', 'urinary tract infection', 'creatinine increased', 'blood creatinine increased', 'cystitis noninfective', 'kidney function abnormal', 'nephrolithiasis', 'renal failure acute', 'renal function test abnormal', 'calculus of kidney']",16
List memantine's effects on the endocrine system,organ_specific,memantine,endocrine,"['blood thyroid stimulating hormone increased', 'diabetes mellitus', 'antidiuretic hormone abnormality', 'inappropriate antidiuretic hormone secretion', 'diabetes mellitus exacerbated', 'blood antidiuretic hormone abnormal', 'hypothyroidism', 'hyperthyroidism']",8
Show immunological toxicity of memantine,organ_specific,memantine,immunological,"['hypersensitivity', 'drug hypersensitivity']",2
What are the otic risks of taking memantine?,organ_specific,memantine,otic,"['tinnitus', 'partial hearing loss', 'deafness', 'hearing impaired']",4
Show hepatobiliary toxicity of memantine,organ_specific,memantine,hepatobiliary,"['hepatitis', 'hepatic failure', 'hepatitis cholestatic', 'liver function test abnormal', 'hepatic enzyme increased', 'hepatobiliary disease', 'hepatic function abnormal', 'raised liver function tests']",8
What are the hematological risks of taking memantine?,organ_specific,memantine,hematological,"['thrombocytopenia', 'neutropenia', 'leukopenia', 'pancytopenia']",4
What gastrointestinal side effects does maraviroc cause?,organ_specific,maraviroc,gastrointestinal,"['vomiting', 'nausea', 'abdominal bloating', 'colitis', 'clostridium difficile colitis', 'abdominal pain upper', 'constipation', 'small intestinal obstruction', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal neoplasm', 'abdominal distension', 'gastrointestinal signs and symptoms nec', 'abdominal pain']",14
Show immunological toxicity of maraviroc,organ_specific,maraviroc,immunological,"['hypersensitivity', 'vasculitis', 'autoimmune disorder', 'type iv hypersensitivity reaction']",4
What are the dermatological risks of taking maraviroc?,organ_specific,maraviroc,dermatological,"['dermatitis', 'eczema', 'dermatitis exfoliative', 'pruritus', 'unspecified disorder of skin and subcutaneous tissue', 'benign neoplasm of skin', 'squamous cell carcinoma of skin', 'rash', 'skin disorder', 'alopecia', 'rash generalised']",11
What are the cardiovascular risks of taking maraviroc?,organ_specific,maraviroc,cardiovascular,"['angina unstable', 'cardiac disorder', 'myocardial ischaemia', 'venous thrombosis', 'peripheral embolism', 'angina pectoris', 'orthostatic hypotension', 'cardiac failure acute', 'portal vein thrombosis', 'myocardial infarction']",10
List maraviroc's effects on the respiratory system,organ_specific,maraviroc,respiratory,"['upper respiratory tract infection', 'lobar pneumonia', 'bronchospasm', 'bronchopneumonia', 'respiratory tract infection', 'respiratory distress', 'pneumonia bacterial', 'respiratory failure', 'respiratory disorder', 'cough', 'pneumonia', 'respiratory tract infection viral']",12
What are the ocular risks of taking maraviroc?,organ_specific,maraviroc,ocular,"['glaucoma', 'conjunctivitis', 'cataract']",3
What are the otic risks of taking maraviroc?,organ_specific,maraviroc,otic,['deafness'],1
What are the psychiatric risks of taking maraviroc?,organ_specific,maraviroc,psychiatric,"['bone marrow depression', 'hallucination, auditory', 'suicidal ideation', 'hallucination', 'anxiety', 'anxiety symptoms nos', 'depression', 'insomnia']",8
Find all endocrine adverse events from maraviroc,organ_specific,maraviroc,endocrine,['diabetes mellitus'],1
What are the neurological risks of taking maraviroc?,organ_specific,maraviroc,neurological,"['parkinsonism', 'dizziness', 'headache', 'polyneuropathy', 'dizziness postural', 'facial paralysis', 'viith nerve paralysis', 'tremor', 'neuropathy peripheral']",9
List maraviroc's effects on the hepatobiliary system,organ_specific,maraviroc,hepatobiliary,"['hepatic cancer metastatic', 'hepatic cirrhosis', 'hepatic failure', 'jaundice cholestatic', 'hepatitis toxic', 'hepatotoxicity', 'jaundice', 'hepatobiliary disease', 'metastases to liver']",9
What are the renal risks of taking maraviroc?,organ_specific,maraviroc,renal,"['proteinuria', 'urinary tract disorder', 'urinary tract signs and symptoms', 'renal failure acute', 'urinary abnormalities', 'oliguria', 'renal failure']",7
What are the hematological risks of taking maraviroc?,organ_specific,maraviroc,hematological,"['neutropenia', 'leukopenia', 'pancytopenia']",3
What are the musculoskeletal risks of taking maraviroc?,organ_specific,maraviroc,musculoskeletal,"['joint related signs and symptoms', 'rhabdomyolysis', 'bone cancer metastatic', 'myalgia', 'muscle atrophy']",5
List omeprazole's effects on the gastrointestinal system,organ_specific,omeprazole,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'constipation aggravated', 'functional gastrointestinal disorder', 'epigastric pain', 'abdominal pain upper', 'gastritis', 'constipation', 'gastric polyps', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'gastrointestinal candidiasis', 'colitis microscopic', 'abdominal pain', 'gastrointestinal haemorrhage']",17
What dermatological side effects does omeprazole cause?,organ_specific,omeprazole,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'pruritus genital', 'rash erythematous', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder', 'alopecia', 'pain of skin', 'dry skin', 'photosensitivity', 'photosensitivity reaction', 'anal pruritus', 'rash maculo-papular']",15
List omeprazole's effects on the immunological system,organ_specific,omeprazole,immunological,"['hypersensitivity', 'allergic cutaneous angiitis', 'anaphylactic shock', 'leukocytoclastic vasculitis']",4
What are the cardiovascular risks of taking omeprazole?,organ_specific,omeprazole,cardiovascular,"['bradycardia', 'angina pectoris', 'hypertension', 'tachycardia', 'palpitations']",5
What are the psychiatric risks of taking omeprazole?,organ_specific,omeprazole,psychiatric,"['agitation', 'anxiety', 'hallucination', 'depression aggravated', 'depression', 'insomnia', 'confusional state']",7
List omeprazole's effects on the musculoskeletal system,organ_specific,omeprazole,musculoskeletal,"['fibromyalgia', 'bone disorder', 'polymyalgia rheumatica', 'fracture', 'cramp muscle', 'myalgia', 'multiple fractures', 'muscle spasms', 'arthralgia']",9
What respiratory side effects does omeprazole cause?,organ_specific,omeprazole,respiratory,"['upper respiratory tract infection', 'bronchospasm', 'asthma', 'asthma aggravated', 'cough']",5
Find all ocular adverse events from omeprazole,organ_specific,omeprazole,ocular,"['optic neuritis', 'vision blurred', 'abnormal vision', 'diplopia', 'optic atrophy', 'conjunctivitis']",6
Find all neurological adverse events from omeprazole,organ_specific,omeprazole,neurological,"['dizziness', 'migraine aggravated', 'headache', 'migraine', 'vertigo', 'anterior ischemic optic neuropathy', 'tremor', 'optic ischaemic neuropathy']",8
Find all hepatobiliary adverse events from omeprazole,organ_specific,omeprazole,hepatobiliary,"['hepatocellular injury', 'liver disorder', 'hepatitis', 'hepatic failure', 'hepatic necrosis', 'elevated liver enzyme levels', 'hepatic enzyme increased', 'hepatobiliary disease', 'jaundice', 'foetor hepaticus', 'hepatic function abnormal', 'hepatic encephalopathy']",12
List omeprazole's effects on the hematological system,organ_specific,omeprazole,hematological,"['thrombocytopenia', 'neutropenia', 'leukopenia', 'pancytopenia']",4
What renal side effects does omeprazole cause?,organ_specific,omeprazole,renal,"['proteinuria', 'urinary tract disorder', 'cystitis', 'renal impairment', 'urinary tract infection', 'nephrosis', 'creatinine increased', 'blood creatinine increased', 'cystitis noninfective', 'renal failure', 'nephrotic syndrome']",11
Find all otic adverse events from omeprazole,organ_specific,omeprazole,otic,['tinnitus'],1
Show gastrointestinal toxicity of thalidomide,organ_specific,thalidomide,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'nausea', 'colitis', 'gastrointestinal perforation', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'intestinal perforation', 'abdominal pain', 'gastrointestinal haemorrhage', 'gastric ulcer']",14
