query,query_type,drug,ground_truth_side_effects,num_side_effects
What are the side effects of desoximetasone?,reverse,desoximetasone,"[""cushing's syndrome"", 'pain', 'leukoderma', 'hyperglycaemia', 'allergic contact dermatitis', 'application site dryness', 'glycosuria', 'dermatitis', 'pyoderma', 'secondary infection', 'hypertrichosis', 'application site irritation', 'folliculitis', 'infection', 'cataract subcapsular', 'psoriasis', 'erythema', 'acne', 'dermatitis perioral', 'dermatitis infected', 'miliaria', 'application site pruritus', 'dermatitis contact', 'skin striae', 'pigmentation skin', 'plaque psoriasis', 'comedone', 'pruritus', 'burning sensation', 'acneiform eruption', 'secondary adrenocortical insufficiency', 'skin atrophy', 'telangiectasia', 'dermatitis acneiform', 'pigmentation disorder', 'stinging']",36
List all side effects of desonide,reverse,desonide,"['mental disorder', 'pain', 'nervous system disorder', 'leukoderma', 'application site atrophy', 'asthma', 'allergic contact dermatitis', 'hyperglycaemia', 'mediastinal disorder', 'cough', 'dermatitis', 'pharyngitis', 'rash', 'secondary infection', 'atrophy', 'application site irritation', 'infection', 'folliculitis', 'oedema peripheral', 'swelling face', 'application site reaction', 'skin exfoliation', 'hyperhidrosis', 'application site rash', 'rash pustular', 'erythema', 'skin disorder', 'headache', 'unspecified disorder of skin and subcutaneous tissue', 'induration', 'application site pain', 'dermatitis perioral', 'irritability', 'viral infection', 'miliaria', 'blood pressure increased', 'application site pruritus', 'dermatitis contact', 'skin striae', 'pruritus', 'acneiform eruption', 'pharyngitis streptococcal', 'skin atrophy', 'application site erythema', 'telangiectasia', 'dermatitis acneiform', 'infestation nos', 'infestation', 'application site burn', 'sweating', 'stinging', 'upper respiratory tract infection']",52
What are the side effects of triphasil?,reverse,triphasil,"['diarrhoea', 'libido increased', 'mental disorder', 'disturbance in sexual arousal', 'nervous system disorder', 'gastrointestinal pain', 'breast tenderness', 'gastrointestinal disorder', 'nausea', 'dermatitis', 'fluid retention', 'rash', 'migraine', 'breast enlargement', 'erythema multiforme', 'immune system disorder', 'angioedema', 'hypertrophy of breast', 'depressed mood', 'eye disorder', 'weight increased', 'breast pain', 'mood swings', 'affect lability', 'skin disorder', 'headache', 'vaginal discharge', 'unspecified disorder of skin and subcutaneous tissue', 'urticaria', 'weight decreased', 'erythema nodosum', 'libido decreased', 'breast disorder', 'hereditary angioedema', 'abdominal pain', 'contact lens intolerance', 'hypersensitivity', 'breast discharge', 'malnutrition', 'vomiting']",40
What are the side effects of ergonovine?,reverse,ergonovine,"['diarrhoea', 'mesenteric ischemia', 'intestinal ischaemia', 'vomiting', 'ventricular arrhythmia', 'gastrointestinal pain', 'water intoxication', 'pleural thickening', 'pleural fibrosis', 'muscle spasms', 'nausea', 'gangrene', 'chest pain', 'hallucination', 'thrombophlebitis', 'palpitations', 'hyperhidrosis', 'haematuria', 'dyspnoea', 'headache', 'arteriospasm coronary', 'dizziness', 'bradycardia', 'hypotension', 'cramps of lower extremities', 'pulmonary oedema', 'vasospasm', 'drug interaction', 'abdominal pain', 'acute coronary syndrome', 'vertigo', 'intestinal infarction', 'oesophageal spasm', 'myocardial infarction', 'tinnitus', 'nasal congestion', 'hypertension', 'shock', 'myasthenia gravis', 'sweating']",40
What adverse events does ceftaroline cause?,reverse,ceftaroline,"['diarrhoea', 'hepatitis', 'blood and lymphatic system disorders', 'body temperature increased', 'nervous system disorder', 'pain', 'hyperglycaemia', 'anaphylactic shock', 'gastrointestinal pain', 'gastrointestinal disorder', 'nausea', 'dermatitis', 'hypokalaemia', 'convulsion', 'rash', 'clostridium difficile colitis', 'immune system disorder', 'swelling face', 'renal failure', 'palpitations', 'eosinophilia', 'thrombocytopenia', 'erythema', 'urethral disorder', 'skin disorder', 'headache', 'dizziness', 'bradycardia', 'unspecified disorder of skin and subcutaneous tissue', 'angiopathy', 'urinary tract disorder', 'coombs direct test positive', 'urticaria', 'transaminases increased', 'constipation', 'abdominal pain', 'pruritus', 'hyperkalaemia', 'hypersensitivity', 'phlebitis', 'hepatobiliary disease', 'infestation nos', 'infestation', 'infusion site reactions', 'malnutrition', 'vomiting', 'anaemia', 'neutropenia']",48
Show me side effects associated with efinaconazole,reverse,efinaconazole,"['application site vesicles', 'instillation site pain', 'application site pain', 'ingrowing nail', 'application site rash']",5
What adverse events does galantamine cause?,reverse,galantamine,"['diverticulitis', 'somnolence', 'hyperglycaemia', 'gastrointestinal pain', 'myalgia', 'tremor', 'abdominal discomfort', 'gastrointestinal disorder', 'cough', 'dermatitis', 'hypokalaemia', 'agitation', 'phosphatase alkaline increased', 'salivary hypersecretion', 'electrocardiogram t wave inversion', 'paraesthesia', 'vascular dementia', 'syncope', 'arthralgia', 'renal failure', 'melaena', 'palpitations', 'hyperhidrosis', 'decreased appetite', 'headache', 'dysphagia', 'calculus of kidney', 'angiopathy', 'pain in extremity', 'cognitive impairment', 'weight decreased', 'neuropathy peripheral', 'leg pain', 'renal impairment', 'purpura', 'anorexia', 'ventricular tachycardia', 'electrocardiogram qt prolonged', 'vertigo', 'sinus bradycardia', 'tinnitus', 'visual impairment', 'bladder pain', 'hypertension', 'atrial arrhythmia', 'shock', 'hallucination, visual', 'epistaxis', 'dysgeusia', 'anaemia', 'gastritis', 'diarrhoea', 'upper respiratory tract infection', 'cystitis', 'gravitational oedema', 'discomfort', 'vision blurred', 'disorder sight', 'anxiety', 'flat affect', 'cerebrovascular accident', 'immune system disorder', 'urinary incontinence', 'depression', 'hallucination', 'infarction', 'red blood cell disorders', 'arthritis', 'cystitis noninfective', 'haematuria', 'musculoskeletal discomfort', 'skin disorder', 'flatulence', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'haemoglobin', 'pollakiuria', 'atrioventricular block first degree', 'myocardial ischaemia', 'constipation', 'blood alkaline phosphatase increased', 'arrhythmia', 'delirium', 'supraventricular tachycardia', 'fatigue', 'rhinitis', 'hallucination, auditory', 'flushing', 'transient ischaemic attack', 'aphasia', 'hypersensitivity', 'ataxia', 'nocturia', 'blood urea increased', 'ill-defined disorder', 'retching', 'vomiting', 'hepatitis', 'cerebrovascular disorder', 'libido increased', 'disturbance in sexual arousal', 'body temperature increased', 'lethargy', 'pneumonia', 'supraventricular extrasystoles', 'bone pain', 'cardiac disorder', 'hiccups', 'asthenia', 'rectal haemorrhage', 'abrasion nos', 'muscle spasms', 'nausea', 'dry mouth', 'convulsion', 'dyspepsia', 'aggression', 'loss of consciousness', 'eye disorder', 'atrial fibrillation', 'dehydration', 'nightmare', 'nephrolithiasis', 'urethral disorder', 'dizziness', 'oesophageal perforation', 'vascular purpura', 'cramps of lower extremities', 'nervousness', 'suicidal ideation', 'bundle branch block', 'haemorrhage', 'suicide', 'ear and labyrinth disorders', 'abdominal pain', 'cardiac failure', 'arrhythmia supraventricular', 'muscle contractions involuntary', 'aggressive reaction', 'hepatobiliary disease', 'insomnia', 'atrioventricular block', 'upset stomach', 'npn increased', 'malnutrition', 'tachycardia', 'confusional state', 'mental disorder', 'gastroenteritis', 'nervous system disorder', 'hypokinesia', 'urinary retention', 'tension', 'paranoia', 'hepatic enzyme increased', 'feeling abnormal', 'muscular weakness', 'paranoid reaction', 'rash', 'connective tissue disorder', 'incontinence', 'completed suicide', 'apathy', 'oedema peripheral', 'chest pain', 'injury', 'cataract', 'thrombocytopenia', 'apraxia', 'bradycardia', 'orthostatic hypotension', 'urinary tract infection', 'malaise', 'suicide attempt', 'urinary tract disorder', 'abdominal pain upper', 'hypersomnia', 'excoriation', 'hypertonia', 'bronchitis', 'lower gastrointestinal haemorrhage', 'back pain', 'depression aggravated', 'coagulopathy', 'hyperkinesia', 'cognitive disorder']",186
List all side effects of flunisolide,reverse,flunisolide,"['gastrointestinal pain', 'myalgia', 'tremor', 'abdominal discomfort', 'cough', 'heartburn', 'dermatitis', 'agitation', 'nasal irritation', 'migraine', 'syncope', 'sensory loss', 'intraocular pressure increased', 'vaginal inflammation', 'weight increased', 'palpitations', 'hyperadrenocorticism', 'hyperhidrosis', 'chills', 'decreased appetite', 'eczema', 'headache', 'shakiness', 'eye infection', 'irritability', 'lymphadenopathy', 'cold symptoms', 'pruritus', 'vertigo', 'oropharyngeal discomfort', 'nasal congestion', 'hypertension', 'fullness abdominal', 'oedema', 'shock', 'candida infection', 'epistaxis', 'dysgeusia', 'stinging', 'upper respiratory tract infection', 'diarrhoea', 'tachycardia nervous', 'pain', 'discomfort', 'nasal septum perforation', 'vision blurred', 'mouth irritation', 'neck pain', 'anxiety', 'hoarseness', 'pleurisy', 'rhinorrhoea', 'chest discomfort', 'pharyngitis', 'ear infection', 'dry throat', 'oral candidiasis', 'musculoskeletal discomfort', 'bronchospasm', 'ocular discomfort', 'constipation', 'fatigue', 'rhinitis', 'cough increased', 'hypersensitivity', 'ill-defined disorder', 'vomiting', 'laryngitis', 'body temperature increased', 'pneumonia', 'throat sore', 'asthenia', 'nausea', 'capillary fragility', 'dysmenorrhoea', 'wheezing', 'dyspepsia', 'erythema multiforme', 'sinus congestion', 'numbness', 'loss of consciousness', 'glaucoma', 'chest tightness', 'dyspnoea', 'dizziness', 'oropharyngeal pain', 'urticaria', 'vaginal infection', 'nasal discomfort', 'increased appetite', 'conjunctivitis', 'abdominal pain', 'candida albicans infection', 'glossitis', 'secondary adrenocortical insufficiency', 'insomnia', 'upset stomach', 'tearing eyes', 'malnutrition', 'sweating', 'tachycardia', ""cushing's syndrome"", 'gastroenteritis', 'ageusia', 'sneezing', 'sinusitis', 'hypokinesia', 'throat irritation', 'lacrimation increased', 'feeling abnormal', 'rash', 'abdominal distension', 'infection', 'hypoaesthesia', 'oedema peripheral', 'chest pain', 'injury', 'anosmia', 'growth retardation', 'cataract', 'pulmonary congestion', 'ear pain', 'nasal burning', 'urinary tract infection', 'malaise', 'stomatitis', 'bronchitis', 'back pain', 'respiratory tract congestion', 'hyperkinesia', 'nasopharyngitis', 'accidental injury', 'dysphonia']",133
What are the side effects of eltrombopag?,reverse,eltrombopag,"['diarrhoea', 'body temperature increased', 'gastrointestinal pain', 'myalgia', 'asthenia', 'cough', 'muscle spasms', 'nausea', 'dermatitis', 'thrombosis', 'dry mouth', 'rhinorrhoea', 'rash', 'pharyngitis', 'influenza like illness', 'paraesthesia', 'aspartate aminotransferase increased', 'alopecia', 'oedema peripheral', 'ecchymosis', 'arthralgia', 'hepatotoxicity', 'chills', 'cataract', 'decreased appetite', 'musculoskeletal discomfort', 'dyspnoea', 'headache', 'dizziness', 'hyperbilirubinaemia', 'urinary tract infection', 'oropharyngeal pain', 'transaminases increased', 'pain in extremity', 'blood alkaline phosphatase increased', 'febrile neutropenia', 'fatigue', 'back pain', 'abdominal pain', 'pruritus', 'alanine aminotransferase increased', 'nasopharyngitis', 'upper respiratory tract infection', 'insomnia', 'musculoskeletal pain', 'vomiting', 'anaemia', 'influenza']",48
What are the side effects of penbutolol?,reverse,penbutolol,"['diarrhoea', 'body temperature increased', 'pain', 'arterial thrombosis', 'throat sore', 'asthenia', 'ache', 'cough', 'nausea', 'laryngospasm', 'dyspepsia', 'amnesia', 'alopecia', 'depression', 'colitis ischaemic', 'hyperhidrosis', 'agranulocytosis', 'mood swings', 'alopecia reversible', 'catatonia', 'affect lability', 'dyspnoea', 'headache', 'dizziness', 'disorientation', 'erectile dysfunction', 'bradycardia', 'respiratory distress', 'oropharyngeal pain', 'thrombocytopenic purpura', 'fatigue', ""peyronie's disease"", 'rash erythematous', 'oropharyngeal discomfort', 'insomnia', 'atrioventricular block', 'short-term memory loss', 'sweating', 'upper respiratory tract infection']",39
What are the side effects of nitrogen?,reverse,nitrogen,"['diarrhoea', 'azotaemia', 'anaphylactic shock', 'leukopenia', 'eye injury', 'aplasia', 'skin hyperpigmentation', 'nausea', 'herpes zoster', 'dermatitis', 'thrombosis', 'jaundice', 'platelet count normal', 'pancytopenia', 'rash', 'erythema multiforme', 'oligomenorrhoea', 'alopecia', 'blister', 'infection', 'skin cancer', 'depression', 'thrombophlebitis', 'agranulocytosis', 'amenorrhoea', 'petechiae', 'thrombocytopenia', 'haemolytic anaemia', 'decreased appetite', 'skin bacterial infection', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'haemoglobin', 'skin ulcer', 'haemorrhage', 'skin carcinoma', 'superior vena cava syndrome', 'oliguria', 'anorexia', 'pruritus', 'lymphopenia', 'vertigo', 'hypersensitivity', 'azoospermia', 'dermatitis bullous', 'tinnitus', 'menstruation delayed', 'mediastinum neoplasm', 'vomiting']",49
List all side effects of estriol,reverse,estriol,"['pain', 'venous thromboembolism', 'breast cancer invasive nos', 'embolism venous', 'gastrointestinal disorder', 'nausea', 'fluid retention', 'pulmonary embolism', 'cerebrovascular accident', 'breast cancer', 'application site irritation', 'erythema multiforme', 'neoplasm', 'endometrial cancer', 'cervical discharge', 'breast discomfort', 'vascular purpura', 'chloasma', 'breast tension', 'pelvic venous thrombosis', 'postmenopausal spotting', 'dementia', 'erythema nodosum', 'breast disorder', 'gallbladder disorder', 'pruritus', 'acute coronary syndrome', 'postmenopausal haemorrhage', 'myocardial infarction', 'malnutrition']",30
Show me side effects associated with stalevo,reverse,stalevo,"['somnolence', 'bacterial infection', 'gastrointestinal pain', 'choreiform', 'tremor', 'gastrointestinal disorder', 'burning tongue', 'cough', 'chorea', 'heartburn', 'dermatitis', 'psychotic disorder', 'priapism', 'agitation', 'salivary hypersecretion', 'paraesthesia', 'syncope', 'hot flush', 'sensory loss', 'weight increased', 'palpitations', 'hyperhidrosis', 'decreased appetite', 'headache', 'dysphagia', 'malignant melanoma', 'serum creatinine increased', 'psychotic episode', 'glossodynia', 'pain in extremity', 'emotional distress', 'weight decreased', 'neuropathy peripheral', 'leg pain', 'purpura', 'gastrointestinal haemorrhage', 'anorexia', 'pruritus', 'oculogyric crisis', 'hypertension', 'oedema', 'shock', 'dysgeusia', 'gastritis', 'diarrhoea', 'upper respiratory tract infection', 'pain', 'discomfort', 'menopausal symptoms', 'diplopia', 'vision blurred', 'anxiety', 'hoarseness', 'alopecia', 'urinary incontinence', 'hallucination', 'blood creatinine increased', 'neuroleptic malignant syndrome', 'henoch-schonlein purpura', 'flatulence', 'mydriasis', 'hypotension', 'haemoglobin', 'pollakiuria', 'memory impairment', 'constipation', 'fatigue', 'flushing', 'gait disturbance', 'blepharospasm', 'acute coronary syndrome', 'sweating increased', 'muscle twitching', 'hypersensitivity', 'dyskinesia', 'delusion', 'ataxia', 'ill-defined disorder', 'vomiting', 'trismus', 'libido increased', 'disturbance in sexual arousal', 'movements involuntary', 'hiccups', 'asthenia', 'cramp muscle', 'muscle spasms', 'nausea', 'euphoric mood', 'dry mouth', 'convulsion', 'distress', 'dyspepsia', 'blister', 'angioedema', 'numbness', 'loss of consciousness', 'duodenal ulcer', 'nightmare', 'haemolytic anaemia', 'urethral disorder', 'dyspnoea', 'dizziness', 'vascular purpura', 'urticaria', 'nervousness', 'haemorrhage', 'abdominal pain', 'shoulder pain', 'bruxism', 'myocardial infarction', 'phlebitis', 'insomnia', 'confusional state', 'mental disorder', 'extrapyramidal disorder', 'white blood cell count decreased', 'leukopenia', 'hypokinesia', 'urinary retention', 'tension', 'feeling abnormal', 'rash', 'hypoaesthesia', 'chest pain', 'pemphigus', 'agranulocytosis', 'thrombocytopenia', 'disorientation', 'orthostatic hypotension', 'urinary tract infection', 'malaise', 'urinary tract disorder', ""horner's syndrome"", 'dementia', 'back pain', 'coagulopathy', 'hyperkinesia', 'urine color abnormal', 'chromaturia', 'haemoglobin decreased', 'dermatitis bullous', 'musculoskeletal pain', 'dysphonia']",144
